CODICE_VIA;STATO;TIPO;DENOMINAZIONE;DATA_INTITOLAZIONE;ANNO_SOPPRESSIONE;DESCRITTIVO;ANNCSU;OPENSTREETMAP;PROGANNCSU;TOPONIMO_OSM;RATIO
1;2;3;DUOMO (DEL);17000101;0;DEL DUOMO;DEL DUOMO;DEL DUOMO;;Piazza del Duomo;100
10;2;17;VITTORIO EMANUELE;0;0;VITTORIO EMANUELE II;VITTORIO EMANUELE SECONDO;VITTORIO EMANUELE SECONDO;;Galleria Vittorio Emanuele II;100
50;3;5;MARGHERITA (SANTA);19700101;2001;SANTA MARGHERITA;;;;;100
51;3;1;ANGIOLI (DEGLI);19780101;1978;DEGLI ANGIOLI;;;;;100
52;3;4;STADIO (DELLO);20000101;2007;DELLO STADIO;;;;;100
96;2;1;CALDERON DE LA BARCA PIETRO;0;0;PIETRO CALDERON DE LA BARCA;PIETRO CALDERON DE LA BARCA;PIETRO CALDERON DE LA BARCA;;Via Privata Pietro Calderon de la Barca;95
97;2;4;TOSCANINI ARTURO;0;0;ARTURO TOSCANINI;ARTURO TOSCANINI;ARTURO TOSCANINI;;Largo Arturo Toscanini;100
98;2;3;LIBERTY (DEL);0;0;DEL LIBERTY;DEL LIBERTY;LIBERTY;;Piazza Liberty;95
99;2;15;MALAGODI GIOVANNI;20010101;;GIOVANNI MALAGODI;GIOVANNI MALAGODI;GIOVANNI MALAGODI;;Passaggio Giovanni Malagodi;100
100;2;17;DE CRISTOFORIS;0;0;DE CRISTOFORIS;DE CRISTOFORIS;DE CRISTOFORIS;;Galleria De Cristoforis;100
101;2;5;CIOVASSO;0;0;CIOVASSO;DI VIA CIOVASSO;CIOVASSO;;Vicolo Ciovasso;100
102;2;15;DUOMO;0;0;DUOMO;DUOMO;DUOMO;;Passaggio Duomo;100
103;2;1;PELLICO SILVIO;0;0;SILVIO PELLICO;SILVIO PELLICO;SILVIO PELLICO;;Via Silvio Pellico;100
104;2;1;CATTANEO CARLO;0;0;CARLO CATTANEO;CARLO CATTANEO;CARLO CATTANEO;;Via Carlo Cattaneo;100
105;2;1;GROSSI TOMMASO;0;0;TOMMASO GROSSI;TOMMASO GROSSI;TOMMASO GROSSI;;Via Tommaso Grossi;100
106;2;1;MENGONI GIUSEPPE;0;0;GIUSEPPE MENGONI;GIUSEPPE MENGONI;GIUSEPPE MENGONI;;Via Giuseppe Mengoni;100
107;2;1;FARINE;0;0;FARINE;FARINE;FARINE;;Via Farine;100
108;2;1;MARGHERITA (SANTA);0;0;SANTA MARGHERITA;SANTA MARGHERITA;SANTA MARGHERITA;;Via Santa Margherita;100
109;2;1;PROTASO (SAN);0;0;SAN PROTASO;SAN PROTASO;SAN PROTASO;;Via San Protaso;100
110;2;1;PORRONE BASSANO;0;0;BASSANO PORRONE;BASSANO PORRONE;BASSANO PORRONE;;Via Bassano Porrone;100
111;2;1;DALMAZIO (SAN);0;0;SAN DALMAZIO;SAN DALMAZIO;SAN DALMAZIO;;Via San Dalmazio;100
112;2;3;FERRARI PAOLO;0;0;PAOLO FERRARI;PAOLO FERRARI;PAOLO FERRARI;;Piazza Paolo Ferrari;100
113;2;1;FILODRAMMATICI;0;0;FILODRAMMATICI;FILODRAMMATICI;FILODRAMMATICI;;Via Filodrammatici;100
114;2;1;CLERICI;0;0;CLERICI;CLERICI;CLERICI;;Via Clerici;100
115;2;1;BOSSI (DEI);0;0;DEI BOSSI;DEI BOSSI;DEI BOSSI;;Via dei Bossi;100
116;2;21;BOSSI MAURILIO;0;0;MAURILIO BOSSI;MAURILIO BOSSI;MAURILIO BOSSI;;Piazzetta Maurilio Bossi;100
117;2;1;BOITO ARRIGO;0;0;ARRIGO BOITO;ARRIGO BOITO;ARRIGO BOITO;;Via Arrigo Boito;100
118;2;1;VERDI GIUSEPPE;0;0;GIUSEPPE VERDI;GIUSEPPE VERDI;GIUSEPPE VERDI;;Via Giuseppe Verdi;100
119;2;1;ROMAGNOSI GIAN DOMENICO;0;0;ROMAGNOSI;ROMAGNOSI;GIANDOMENICO ROMAGNOSI;;Via Giandomenico Romagnosi;85
120;2;1;ANDEGARI;0;0;ANDEGARI;ANDEGARI;ANDEGARI;;Via Andegari;100
121;2;1;MONTE DI PIETA';0;0;MONTE DI PIETA';MONTE DI PIETA';MONTE DI PIETA';;Via Monte di Pietà;97
122;2;1;BRERA;0;0;BRERA;BRERA;BRERA;;Via Brera;100
123;2;1;ORSO (DELL');0;0;DELL'ORSO;DELL'ORSO;DELL'ORSO;;Via dell'Orso;100
124;2;1;LAURO (DEL);0;0;DEL LAURO;DEL LAURO;DEL LAURO;;Via del Lauro;100
125;2;1;CIOVASSINO;0;0;CIOVASSINO;CIOVASSINO;CIOVASSINO;;Via Ciovassino;100
